Disease,Description
Nhiễm trùng nấm,Nhiễm nấm là tình trạng da phổ biến do nấm gây ra.
Dị ứng,Dị ứng là phản ứng của hệ miễn dịch với một chất nào đó trong môi trường.
Bệnh trào ngược dạ dày,GERD (Bệnh trào ngược dạ dày thực quản) là một rối loạn tiêu hóa ảnh hưởng đến cơ vòng thực quản dưới.
Ứ mật mãn tính,Ứ mật mãn tính là tình trạng lượng mật từ gan bị giảm trong một thời gian dài.
Phản ứng thuốc,Phản ứng thuốc xảy ra khi cơ thể phản ứng bất lợi với thuốc.
Bệnh loét dạ dày tá tràng,Bệnh loét dạ dày tá tràng liên quan đến các vết loét phát triển ở lớp lót bên trong dạ dày và ruột non.
AIDS,AIDS (Hội chứng suy giảm miễn dịch mắc phải) là một căn bệnh do HIV gây ra làm suy yếu hệ thống miễn dịch.
Bệnh tiểu đường,Bệnh tiểu đường là một tình trạng mãn tính ảnh hưởng đến cách cơ thể xử lý lượng đường trong máu.
Viêm dạ dày ruột,"Viêm dạ dày ruột là tình trạng viêm dạ dày và ruột, thường do virus hoặc vi khuẩn gây ra."
Hen phế quản,Hen phế quản là một tình trạng hô hấp đặc trưng bởi tình trạng viêm đường hô hấp.
Tăng huyết áp,"Tăng huyết áp, hay huyết áp cao, là một tình trạng tim mạch phổ biến."
Chứng đau nửa đầu,Đau nửa đầu là một loại đau đầu thường gây đau dữ dội và nhạy cảm với ánh sáng và âm thanh.
Thoái hóa đốt sống cổ,Thoái hóa cột sống cổ là tình trạng thoái hóa cột sống cổ.
Liệt (xuất huyết não),Tê liệt (xuất huyết não) đề cập đến việc mất chức năng cơ do chảy máu trong não.
Vàng da,"Vàng da là sự đổi màu vàng của da và mắt, thường là dấu hiệu của các vấn đề về gan."
Sốt rét,"Sốt rét là một bệnh truyền nhiễm do muỗi truyền, ảnh hưởng đến con người và các động vật khác."
Thủy đậu,"Thủy đậu là một bệnh nhiễm virus rất dễ lây lan, gây phát ban ngứa."
Sốt xuất huyết,Sốt xuất huyết là một bệnh nhiễm virus do muỗi truyền gây ra các triệu chứng giống cúm.
Bệnh thương hàn,Thương hàn là một bệnh nhiễm trùng do vi khuẩn có thể dẫn đến sốt cao và các triệu chứng về đường tiêu hóa.
Viêm gan A,viêm gan A là một bệnh gan do virus.
Viêm gan B,Viêm gan B là một bệnh nhiễm virus tấn công gan.
Viêm gan C,Viêm gan C là một bệnh nhiễm virus gây viêm gan.
Viêm gan D ,Viêm gan D là một bệnh gan nghiêm trọng do virus viêm gan D gây ra.
Viêm gan E,Viêm gan E là một bệnh nhiễm virus gây viêm gan.
Viêm gan do rượu,Viêm gan do rượu là tình trạng viêm gan do uống rượu.
Bệnh lao,Bệnh lao là một bệnh nhiễm trùng do vi khuẩn chủ yếu ảnh hưởng đến phổi.
Cảm lạnh thông thường,Cảm lạnh thông thường là tình trạng nhiễm virus ở đường hô hấp trên.
Viêm phổi,Viêm phổi là tình trạng viêm ảnh hưởng đến các túi khí trong phổi.
Bệnh trĩ lưỡng hình (cọc),Bệnh trĩ lưỡng hình (cọc) là một tình trạng đặc trưng bởi các mạch máu bị sưng ở trực tràng.
Đau tim,Đau tim là tình trạng lưu lượng máu đến cơ tim bị giảm đột ngột và nghiêm trọng.
Giãn tĩnh mạch,"Giãn tĩnh mạch là các tĩnh mạch bị sưng to, xoắn, thường xuất hiện ở chân."
Suy giáp,Suy giáp là tình trạng tuyến giáp không sản xuất đủ hormone tuyến giáp.
Bệnh cường giáp,Bệnh cường giáp là tình trạng tuyến giáp sản xuất quá nhiều hormone tuyến giáp.
Hạ đường huyết,Hạ đường huyết là tình trạng đặc trưng bởi lượng đường trong máu thấp bất thường.
Viêm xương khớp,Viêm xương khớp là một bệnh thoái hóa khớp ảnh hưởng đến sụn ở khớp.
Viêm khớp,"Viêm khớp là tình trạng viêm một hoặc nhiều khớp, gây đau và cứng khớp."
(Chóng mặt) Chóng mặt tư thế kịch phát,(Chóng mặt) Chóng mặt kịch phát do tư thế là một loại chóng mặt do chuyển động đầu cụ thể gây ra.
Mụn trứng cá,Mụn trứng cá là tình trạng da xảy ra khi nang lông bị tắc nghẽn do dầu và tế bào da chết.
Nhiễm trùng đường tiết niệu,Nhiễm trùng đường tiết niệu là tình trạng nhiễm trùng xảy ra ở bất kỳ bộ phận nào của hệ tiết niệu.
Bệnh vẩy nến,"Bệnh vẩy nến là một tình trạng da mãn tính đặc trưng bởi các mảng đỏ, ngứa và có vảy."
Bệnh chốc lở,"Bệnh chốc lở là một bệnh nhiễm trùng da rất dễ lây lan, gây ra vết loét đỏ có thể vỡ ra."
